Name;Age;Boarded;Position;Lifeboat;Body;Sex;Class;Group
Cavendish, Mrs. Julia Florence (née Siegel);25;S;1classPass;6;;f;1;1c1serv
Douglas, Mrs. Mahala (née Dutton);48;C;1classPass;2;;f;1;1c1serv
Duff Gordon, Lucy Christiana, Lady (née Sutherland);48;C;1classPass;1;;f;1;1c1serv
Graham, Miss Margaret Edith;19;S;1classPass;3;;f;1;1c1serv
Harper, Mr. Henry Sleeper;48;C;1classPass;3;;m;1;1c1serv
Hays, Mr. Charles Melville;55;S;1classPass;;307M;m;1;1c1serv
Hays, Mrs. Clara Jennings (née Grigg);52;S;1classPass;3;;f;1;1c1serv
Leslie, Lucy Noël Martha, Countess of Rothes (née Dyer-Edwardes);34;S;1classPass;8;;f;1;1c1serv
Moore, Mr. Clarence;47;S;1classPass;;;m;1;1c1serv
Peñasco y Castellana, Mrs. Maria Josefa (née Perez de Soto y Vallejo);22;C;1classPass;8;;f;1;1c1serv
Robert, Mrs. Elisabeth Walton (née McMillan);43;S;1classPass;2;;f;1;1c1serv
Ryerson, Mrs. Emily Maria (née Borie);48;C;1classPass;4;;f;1;1c1serv
"Ryerson, Master John Borie ""Jack""";13;C;1classPass;4;;m;1;1c1serv
Spedden, Mrs. Margaretta Corning (née Stone);39;C;1classPass;3;;f;1;1c1serv
Spedden, Master Robert Douglas;6;C;1classPass;3;;m;1;1c1serv
Spencer, Mrs. Marie Eugénie (née Demougeot);45;C;1classPass;6;;f;1;1c1serv
Stone, Mrs. Martha Evelyn (née Stevens);62;S;1classPass;6;;f;1;1c1serv
Straus, Mr. Isidor;67;S;1classPass;;96MB;m;1;1c1serv
Straus, Mrs. Rosalie Ida (née Blun);63;S;1classPass;;;f;1;1c1serv
Thayer, Mrs. Marian Longsteth (née Morris);39;C;1classPass;4;;f;1;1c1serv
Widener, Mr. George Dunton;50;S;1classPass;;;m;1;1c1serv
Allison, Mr. Hudson Joshua Creighton;30;S;1classPass;;135MB;m;1;1c2serv
Astor, Mrs. Madeleine Talmage (née Force)[65][66];18;C;1classPass;4;;f;1;1c2serv
Carter, Mr. William Ernest;36;S;1classPass;C;;m;1;1c2serv
Guggenheim, Mr. Benjamin;46;C;1classPass;;;m;1;1c2serv
Ismay, Mr. Joseph Bruce;49;S;1classPass;C;;m;1;1c2serv
White, Mrs. Ella (née Holmes);55;C;1classPass;8;;f;1;1c2serv
Abelson, Mr. Samuel;30;C;2classPass;;;m;2;2class
Abelson, Mrs. Anna (née Wizosky?);28;C;2classPass;10;;f;2;2class
Andrew, Mr. Edgar Samuel;17;S;2classPass;;;m;2;2class
Andrew, Mr. Frank Thomas;30;S;2classPass;;;m;2;2class
Angle, Mr. William A.;32;S;2classPass;;;m;2;2class
"Angle, Mrs. Florence Agnes ""Mary"" (née Hughes)";36;S;2classPass;11;;f;2;2class
Ashby, Mr. John;57;S;2classPass;;;m;2;2class
Bailey, Mr. Percy Andrew;18;S;2classPass;;;m;2;2class
Bainbrigge, Mr. Charles Robert;23;S;2classPass;;;m;2;2class
Ball, Mrs. Ada E. (née Hall);36;S;2classPass;10;;f;2;2class
Banfield, Mr. Frederick James;28;S;2classPass;;;m;2;2class
Bateman, Reverend Robert James;51;S;2classPass;;174MB;m;2;2class
Beane, Mr. Edward;32;S;2classPass;13;;m;2;2class
Beane. Mrs. Ethel (née Clarke);19;S;2classPass;13;;f;2;2class
Beauchamp, Mr. Henry James;28;S;2classPass;;194MB;m;2;2class
Becker, Mrs. Nellie E. (née Baumgardner);35;S;2classPass;11;;f;2;2class
Becker, Miss Ruth Elizabeth;12;S;2classPass;13;;f;2;2class
Becker, Miss Marion Louise;4;S;2classPass;11;;f;2;2class
Becker, Master Richard Frederick;1;S;2classPass;11;;m;2;2class
Beesley, Mr. Lawrence;34;S;2classPass;13;;m;2;2class
Bentham, Miss Lillian W.;19;S;2classPass;12;;f;2;2class
Berriman, Mr. William John;23;S;2classPass;;;m;2;2class
Botsford, Mr. William Hull;25;S;2classPass;;;m;2;2class
Bowenur, Mr. Solomon;42;S;2classPass;;;m;2;2class
Bracken, Mr. James H.;29;S;2classPass;;;m;2;2class
